text,label
"Hello, I am calling from your bank. Share your OTP.",1
"Hey, how are you doing?",0
"Your insurance policy has expired. Pay now to reactivate.",1
"I am your friend, let’s meet up for coffee.",0
"Hello, I’m calling from the Federal Tax Department. Our system shows that there’s an unpaid tax balance under your name. If you don’t resolve this immediately, legal action will be taken. What? I’ve paid all my taxes! This must be a mistake. I understand your concern, but the amount of $4,567 is overdue, and we need you to make a payment now to avoid arrest. Arrest? But how can I fix this? You can settle this over the phone. Please provide your credit card number, and we’ll process the payment to clear your record. Alright, here’s my card number: 1234-5678-9876-5432. Thank you. Your payment has been processed. A confirmation email will follow shortly.",1
"Hey Sarah, it’s Jenny! Just checking in—did you get my email about the project timelines? Oh yes, I did! I was planning to respond after lunch. Perfect! Let me know if you have questions. I’ll be in a meeting until 3 PM, but feel free to text me. Got it! Thanks for the heads-up. Talk later!",0
"Good afternoon, this is Emily from XYZ Tech Support. We’ve detected a security breach on your home network. Oh no! What should I do? We need to reset your network remotely. Could you confirm your router username and password? Uh… it’s admin and 12345678. Thank you! We’ll secure your network immediately. Please don’t disconnect your internet for the next 24 hours. Okay, thank you for helping!",1
"Hi, this is Mike from your internet provider. We’re conducting a quality check on your connection. Is now a good time? Sure, go ahead. Great! Are you experiencing any interruptions or slow speeds? Not really. Everything seems fine. Excellent! If you face any issues, feel free to call us. Have a nice day! Thanks, you too!",0
"Congratulations! You’ve won a $10,000 cash prize in our lucky draw. Wow, really? Yes, all we need is a small processing fee to release the funds. Could you transfer $50 via our secure payment link? Uh… okay, I guess. Here’s the link: securepayments.fakeprize.com. Once you pay, the funds will be transferred to your account directly. Alright, I’ll do it now. Thank you for participating, and congratulations again!",1
"Hi, this is Chris from the local library. We’re calling to remind you that your book loan is due tomorrow. Oh, thank you for letting me know! I’ll return it on time. No problem! Let us know if you need an extension. Will do. Thanks again!",0
"Hello, this is the Loan Approval Department. Your application for a $20,000 loan has been pre-approved! I didn’t apply for a loan. That’s strange; our system shows your details. To proceed, we need your bank account info for verification. Is this safe? Completely! We’re a verified financial institution. Just provide your account number, and we’ll finalize the deposit. Alright, my account number is 87654321. Thank you, the loan will be processed shortly!",1
"Hi, it’s the vet clinic calling about Bella’s annual vaccination. Oh, right! When should I bring her in? We have slots available this Friday at 10 AM or 3 PM. Let’s do 10 AM. Perfect! We’ll see you then. Thank you! You’re welcome!",0
"Hi, this is Alex from the Electricity Board. We’ve noticed an unpaid bill under your account, and your service is scheduled to be disconnected today. What? I paid my bill last week! It’s not showing in our records. To avoid disconnection, you must pay $150 immediately via our secure link. How can I pay? I’ll send you the link. Just complete the payment, and your service will remain active. Alright, send me the link. Thank you for your prompt action.",1
"Hey, this is John. Are you free this weekend to help me with moving furniture? Sure, I can come by on Saturday afternoon. Great! I’ll have everything ready. Thanks a lot, I appreciate your help! No problem. See you Saturday.",0
"Hello, we’re contacting you from the National Bank. We’ve detected suspicious activity in your account. Oh no, what happened? Someone tried to transfer $2,000 from your account. To stop it, we need to verify your account details. Okay, what do you need? Your account number and PIN would be enough to secure your funds. Oh, okay. My account number is 34567890, and my PIN is 1234. Thank you! Your account is now safe.",1
"Good morning, this is Laura from the dental clinic. Just reminding you about your appointment on Wednesday at 10 AM. Thanks for the reminder! I’ll be there. Great, see you then. Have a nice day! You too!",0
"Hi, this is Kevin from the Mega Lottery Company. You’ve won $1,000,000 in our lucky draw! That’s amazing! What do I need to do? To claim your prize, you’ll need to pay a small processing fee of $200. Can I pay online? Absolutely. I’ll send you a link to complete the payment. Alright, send me the link. Congratulations again on your big win!",1
"Hi, it’s your neighbor, Tom. Just wanted to let you know that your package got delivered to my house by mistake. Oh, thanks for letting me know! I’ll come by to pick it up. No rush, just stop by when you have time. Thanks again, Tom. I appreciate it! No problem at all.",0
"Hello, this is Officer Daniels from the Crime Investigation Bureau. We’ve found your social security number linked to criminal activity. What? That’s impossible! To avoid being arrested, you need to verify your identity with us. How do I do that? Provide your social security number and date of birth for verification. Okay, my SSN is 123-45-6789, and my DOB is 01/01/1980. Thank you. We’ll update our records and resolve this immediately.",1
"Hi, this is Amanda from the gym. We’re calling to let you know about a special discount on membership renewals. Oh, that’s great! How much is the discount? If you renew this week, you’ll get 20% off the annual fee. Awesome! I’ll come in tomorrow to renew. Perfect. We’ll see you then!",0
"Hi, this is Rachel from the Visa Fraud Department. We’ve detected unauthorized transactions on your credit card. Oh no! What should I do? We need to block your card immediately, but we need to confirm your card number first. Alright, my card number is 9876-5432-1234-5678. Thank you. We’ll block the card and call you back shortly.",1
"Hi, this is Kris from the school office. We’re calling to remind you about the parent-teacher meeting on Friday. Thanks for the reminder! What time does it start? It’s at 6 PM in the main hall. Got it. I’ll be there. Thank you!",0
"Hello, this is a message from your internet provider. Your connection will be terminated today due to unpaid bills. Wait, that can’t be right. I paid my bill last week. Our records don’t show the payment. Please provide your payment details so we can verify. My card number is 5678-1234-4321-8765. Thank you. We’ll resolve this issue immediately.",1
"Hey, this is your cousin, Lisa. Just wanted to ask if you’re coming to the family reunion next weekend. Yes, I am! I’ve already booked my tickets. That’s great! Can’t wait to see you. Same here! See you soon!",0
"Hello, this is John from National Bank. We’ve detected suspicious activity on your account. What kind of activity? Someone attempted to transfer $1,000. To prevent this, we need to verify your account details. Can you provide your account number and PIN? Alright, my account number is 543210 and my PIN is 9876. Thank you, your account has been secured.",1
"Good afternoon, this is Sarah from Global Bank. Your account is at risk of being locked due to suspicious login attempts. Oh no! What do I need to do? I’ll need your online banking username and password to verify your identity. Okay, my username is user123 and my password is pass456. Thank you, we’ll fix this now.",1
"Hi, this is Mark from SecureBank. We’ve noticed a failed transaction on your credit card. Did you try to make a $500 purchase today? No, I didn’t. Then we need to verify your card number and CVV to block the transaction. Alright, my card number is 1234-5678-9876-5432, and the CVV is 123. Thank you. Your card is now safe.",1
"Hello, this is from the Fraud Detection Unit at CityBank. We’ve flagged your account for suspicious activity. What should I do? We need to confirm your account number and PIN to secure your funds. Okay, my account number is 98765432 and PIN is 2468. Thank you, your account is now secure.",1
"Hi, this is Emily from Bank of Trust. Your account has been temporarily frozen due to a failed security check. I didn’t do anything! To reactivate it, we need your date of birth and bank account details. Alright, my DOB is 01/01/1980, and my account number is 11112222. Thank you, your account is active again.",1
